chrom,geneA,geneB,gidA,gidB,tssA,tssB,dist,bclassA,bclassB,gtypeA,gtypeB,pairclass,dist_tier,bdp_id,in_caco2_505
chr1,HES4,ISG15,ENSG00000188290.10,ENSG00000187608.10,1000172,1001138,966,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HES4_ISG15,True
chr1,SDF4,B3GALT6,ENSG00000078808.17,ENSG00000176022.7,1232067,1232237,170,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SDF4_B3GALT6,True
chr1,INTS11,CPTP,ENSG00000127054.20,ENSG00000224051.7,1324691,1324756,65,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,INTS11_CPTP,True
chr1,MORN1,RER1,ENSG00000116151.14,ENSG00000157916.20,2391707,2391775,68,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MORN1_RER1,True
chr1,CEP104,DFFB,ENSG00000116198.13,ENSG00000169598.15,3857214,3857267,53,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CEP104_DFFB,True
chr1,HES2,ESPN,ENSG00000069812.11,ENSG00000187017.17,6424670,6424776,106,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HES2_ESPN,False
chr1,NOL9,TAS1R1,ENSG00000162408.11,ENSG00000173662.21,6554513,6555307,794,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,NOL9_TAS1R1,False
chr1,LZIC,NMNAT1,ENSG00000162441.12,ENSG00000173614.14,9943407,9943428,21,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LZIC_NMNAT1,True
chr1,MAD2L2,DRAXIN,ENSG00000116670.15,ENSG00000162490.7,11691650,11691710,60,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MAD2L2_DRAXIN,False
chr1,CASP9,DNAJC16,ENSG00000132906.18,ENSG00000116138.13,15526534,15526813,279,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CASP9_DNAJC16,True
chr1,FBXO42,SZRD1,ENSG00000037637.11,ENSG00000055070.17,16352480,16352575,95,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,FBXO42_SZRD1,True
chr1,EMC1,MRTO4,ENSG00000127463.15,ENSG00000053372.5,19251527,19251805,278,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,EMC1_MRTO4,True
chr1,AKR7A2,SLC66A1,ENSG00000053371.12,ENSG00000040487.13,19312146,19312326,180,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AKR7A2_SLC66A1,True
chr1,RSRP1,TMEM50A,ENSG00000117616.18,ENSG00000183726.11,25338213,25338317,104,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,RSRP1_TMEM50A,True
chr1,RHCE,MACO1,ENSG00000188672.18,ENSG00000204178.11,25430192,25430858,666,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,RHCE_MACO1,False
chr1,SNRNP40,ZCCHC17,ENSG00000060688.13,ENSG00000121766.15,31296788,31296982,194,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SNRNP40_ZCCHC17,True
chr1,ZBTB8OS,RBBP4,ENSG00000176261.15,ENSG00000162521.19,32650903,32651142,239,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZBTB8OS_RBBP4,True
chr1,AK2,AZIN2,ENSG00000004455.17,ENSG00000142920.17,33080996,33081104,108,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AK2_AZIN2,False
chr1,ZMYM6,ZMYM1,ENSG00000163867.17,ENSG00000197056.11,35031945,35032172,227,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZMYM6_ZMYM1,True
chr1,C1orf109,CDCA8,ENSG00000116922.14,ENSG00000134690.11,37692249,37692481,232,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C1orf109_CDCA8,True
chr1,HPCAL4,PPIE,ENSG00000116983.13,ENSG00000084072.16,39691485,39692182,697,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HPCAL4_PPIE,False
chr1,P3H1,C1orf50,ENSG00000117385.15,ENSG00000164008.16,42767084,42767249,165,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,P3H1_C1orf50,True
chr1,MED8,SZT2,ENSG00000159479.17,ENSG00000198198.17,43389808,43389882,74,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MED8_SZT2,True
chr1,TMEM53,ARMH1,ENSG00000126106.14,ENSG00000198520.12,44674481,44674692,211,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TMEM53_ARMH1,False
chr1,CCDC163,MMACHC,ENSG00000280670.3,ENSG00000132763.15,45500079,45500300,221,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CCDC163_MMACHC,False
chr1,GPBP1L1,TMEM69,ENSG00000159592.11,ENSG00000159596.7,45688113,45688181,68,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,GPBP1L1_TMEM69,True
chr1,LRRC41,UQCRH,ENSG00000132128.16,ENSG00000173660.12,46303608,46303698,90,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LRRC41_UQCRH,True
chr1,AGBL4,ELAVL4,ENSG00000186094.17,ENSG00000162374.17,50023954,50024029,75,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AGBL4_ELAVL4,False
chr1,FAF1,CDKN2C,ENSG00000185104.20,ENSG00000123080.12,50960267,50960745,478,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,FAF1_CDKN2C,False
chr1,TXNDC12,BTF3L4,ENSG00000117862.12,ENSG00000134717.18,52056171,52056199,28,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TXNDC12_BTF3L4,True
chr1,ORC1,PRPF38A,ENSG00000085840.13,ENSG00000134748.13,52404423,52404602,179,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ORC1_PRPF38A,True
chr1,ECHDC2,SCP2,ENSG00000121310.17,ENSG00000116171.18,52927212,52927276,64,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ECHDC2_SCP2,True
chr1,HSPB11,LRRC42,ENSG00000081870.11,ENSG00000116212.15,53945929,53946085,156,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HSPB11_LRRC42,True
chr1,TMEM59,TCEANC2,ENSG00000116209.12,ENSG00000116205.14,54053504,54053584,80,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TMEM59_TCEANC2,True
chr1,PLPP3,PRKAA2,ENSG00000162407.9,ENSG00000162409.11,56645301,56645314,13,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,PLPP3_PRKAA2,True
chr1,WDR78,MIER1,ENSG00000152763.17,ENSG00000198160.14,66924856,66924895,39,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,WDR78_MIER1,False
chr1,LRRC40,SRSF11,ENSG00000066557.6,ENSG00000116754.13,70205579,70205682,103,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LRRC40_SRSF11,True
chr1,ANKRD13C,HHLA3,ENSG00000118454.13,ENSG00000197568.14,70354734,70354805,71,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ANKRD13C_HHLA3,False
chr1,LRRIQ3,FPGT,ENSG00000162620.16,ENSG00000254685.6,74198187,74198212,25,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LRRIQ3_FPGT,False
chr1,FUBP1,DNAJB4,ENSG00000162613.16,ENSG00000162616.9,77979110,77979175,65,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,FUBP1_DNAJB4,True
chr1,SELENOF,HS2ST1,ENSG00000183291.17,ENSG00000153936.17,86914424,86914635,211,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SELENOF_HS2ST1,True
chr1,GLMN,RPAP2,ENSG00000174842.17,ENSG00000122484.9,92298987,92299059,72,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,GLMN_RPAP2,True
chr1,SASS6,TRMT13,ENSG00000156876.10,ENSG00000122435.10,100132955,100133150,195,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SASS6_TRMT13,True
chr1,EXTL2,SLC30A7,ENSG00000162694.14,ENSG00000162695.12,100895179,100896076,897,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,EXTL2_SLC30A7,True
chr1,AP4B1,DCLRE1B,ENSG00000134262.13,ENSG00000118655.7,113905201,113905213,12,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AP4B1_DCLRE1B,True
chr1,GDAP2,WDR3,ENSG00000196505.11,ENSG00000065183.16,117929621,117929720,99,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,GDAP2_WDR3,True
chr1,ZNF697,PHGDH,ENSG00000143067.5,ENSG00000092621.12,119648266,119648411,145,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZNF697_PHGDH,True
chr1,SRGAP2B,FAM72D,ENSG00000196369.11,ENSG00000215784.6,145095528,145095974,446,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SRGAP2B_FAM72D,True
chr1,ANKRD34A,POLR3GL,ENSG00000272031.3,ENSG00000121851.13,145964575,145964690,115,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ANKRD34A_POLR3GL,False
chr1,HIST2H2BE,HIST2H2AC,ENSG00000184678.10,ENSG00000184260.5,149886652,149886975,323,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HIST2H2BE_HIST2H2AC,True
chr1,MINDY1,PRUNE1,ENSG00000143409.15,ENSG00000143363.17,151008375,151008420,45,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MINDY1_PRUNE1,True
chr1,CDC42SE1,GABPB2,ENSG00000197622.13,ENSG00000143458.12,151070325,151070578,253,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CDC42SE1_GABPB2,True
chr1,SHC1,CKS1B,ENSG00000160691.18,ENSG00000173207.13,154974395,154974653,258,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SHC1_CKS1B,True
chr1,DCST2,DCST1,ENSG00000163354.15,ENSG00000163357.10,155033781,155033824,43,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DCST2_DCST1,False
chr1,KRTCAP2,TRIM46,ENSG00000163463.11,ENSG00000163462.18,155173475,155173787,312,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,KRTCAP2_TRIM46,False
chr1,GON4L,SYT11,ENSG00000116580.18,ENSG00000132718.9,155859400,155859567,167,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,GON4L_SYT11,False
chr1,UBQLN4,LAMTOR2,ENSG00000160803.8,ENSG00000116586.11,156053798,156054752,954,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,UBQLN4_LAMTOR2,True
chr1,MEX3A,LMNA,ENSG00000254726.3,ENSG00000160789.20,156082465,156082573,108,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MEX3A_LMNA,True
chr1,SMG5,TMEM79,ENSG00000198952.8,ENSG00000163472.19,156282825,156282935,110,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SMG5_TMEM79,True
